epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,262.497,0.70712,0.48207,1.06132,0.99702,1,0.995,0.79207,0.84685,0.39773,1.24188,0.00062636,0.00062636,0.00062636
96,265.203,0.75336,0.48321,1.11127,0.9967,1,0.995,0.79009,0.8993,0.41695,1.28985,0.000607331,0.000607331,0.000607331
97,267.891,0.70092,0.46972,1.01483,0.99661,1,0.995,0.79402,0.85626,0.40232,1.25769,0.000588479,0.000588479,0.000588479
98,270.68,0.71427,0.51033,1.08343,0.99688,1,0.995,0.78732,0.84812,0.38757,1.2427,0.000569811,0.000569811,0.000569811
99,273.333,0.71842,0.48116,1.08425,0.99695,1,0.995,0.80415,0.81337,0.39412,1.20523,0.000551337,0.000551337,0.000551337
100,276.05,0.68368,0.43722,1.05652,0.99715,1,0.995,0.80703,0.80197,0.38879,1.23353,0.000533064,0.000533064,0.000533064
101,278.666,0.65196,0.42584,1.02381,0.99727,1,0.995,0.82184,0.792,0.38262,1.24719,0.000515,0.000515,0.000515
102,281.268,0.62948,0.42802,1.05694,0.9972,1,0.995,0.80659,0.7971,0.37271,1.26219,0.000497153,0.000497153,0.000497153
103,283.891,0.62151,0.42244,1.02068,0.99719,1,0.995,0.79457,0.79739,0.35402,1.26141,0.000479531,0.000479531,0.000479531
104,286.514,0.68016,0.43701,1.05602,0.99717,1,0.995,0.80939,0.82322,0.3528,1.28943,0.000462142,0.000462142,0.000462142
105,289.148,0.651,0.42583,1.05049,0.99705,1,0.995,0.79187,0.80811,0.35777,1.27084,0.000444994,0.000444994,0.000444994
106,291.758,0.66279,0.4411,1.02726,0.99704,1,0.995,0.80583,0.82683,0.3517,1.28785,0.000428093,0.000428093,0.000428093
107,294.357,0.65129,0.44381,1.04082,0.99714,1,0.995,0.8176,0.83756,0.34765,1.28053,0.000411447,0.000411447,0.000411447
108,296.981,0.6793,0.43344,1.04886,0.99718,1,0.995,0.80745,0.76091,0.3437,1.21866,0.000395064,0.000395064,0.000395064
109,299.587,0.69816,0.45437,1.11337,0.99716,1,0.995,0.82028,0.77897,0.33842,1.22356,0.00037895,0.00037895,0.00037895
110,302.188,0.63624,0.43898,1.01798,0.99723,1,0.995,0.81115,0.80455,0.33864,1.24547,0.000363114,0.000363114,0.000363114
111,304.882,0.69842,0.4339,1.04366,0.99723,1,0.995,0.82163,0.81635,0.34965,1.27356,0.000347561,0.000347561,0.000347561
112,307.579,0.6549,0.41964,1.05702,0.9972,1,0.995,0.81415,0.8232,0.35328,1.29365,0.000332298,0.000332298,0.000332298
113,310.159,0.63278,0.40822,1.03021,0.99703,1,0.995,0.81352,0.81508,0.36184,1.29493,0.000317333,0.000317333,0.000317333
114,312.79,0.67046,0.42444,1.03934,0.99695,1,0.995,0.7934,0.79055,0.34565,1.29709,0.000302672,0.000302672,0.000302672
115,315.358,0.62814,0.41679,1.03951,0.99694,1,0.995,0.79169,0.76601,0.33491,1.2837,0.000288321,0.000288321,0.000288321
